+ iperf3 -c c10-35.sysnet.ucsd.edu -w 2KB -t 100
Connecting to host c10-35.sysnet.ucsd.edu, port 5201
[  4] local 169.228.66.59 port 49810 connected to 169.228.66.58 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  9.75 MBytes  81.7 Mbits/sec    0   7.07 KBytes       
[  4]   1.00-2.00   sec  11.1 MBytes  93.3 Mbits/sec    0   7.07 KBytes       
[  4]   2.00-3.00   sec  11.6 MBytes  97.4 Mbits/sec    0   7.07 KBytes       
[  4]   3.00-4.00   sec  11.3 MBytes  94.4 Mbits/sec    0   7.07 KBytes       
[  4]   4.00-5.00   sec  10.5 MBytes  88.3 Mbits/sec    0   7.07 KBytes       
[  4]   5.00-6.00   sec  10.8 MBytes  90.6 Mbits/sec    0   7.07 KBytes       
[  4]   6.00-7.00   sec  9.63 MBytes  80.8 Mbits/sec    0   7.07 KBytes       
[  4]   7.00-8.00   sec  9.80 MBytes  82.2 Mbits/sec    0   7.07 KBytes       
[  4]   8.00-9.00   sec  9.99 MBytes  83.8 Mbits/sec    0   7.07 KBytes       
[  4]   9.00-10.00  sec  11.4 MBytes  95.4 Mbits/sec    0   7.07 KBytes       
[  4]  10.00-11.00  sec  11.2 MBytes  94.1 Mbits/sec    0   7.07 KBytes       
[  4]  11.00-12.00  sec  11.6 MBytes  97.5 Mbits/sec    0   7.07 KBytes       
[  4]  12.00-13.00  sec  11.4 MBytes  95.2 Mbits/sec    0   7.07 KBytes       
[  4]  13.00-14.00  sec  11.3 MBytes  95.0 Mbits/sec    0   7.07 KBytes       
[  4]  14.00-15.00  sec  11.4 MBytes  95.9 Mbits/sec    0   7.07 KBytes       
[  4]  15.00-16.00  sec  11.7 MBytes  98.1 Mbits/sec    0   7.07 KBytes       
[  4]  16.00-17.00  sec  11.3 MBytes  95.2 Mbits/sec    0   7.07 KBytes       
[  4]  17.00-18.00  sec  10.3 MBytes  86.7 Mbits/sec    0   7.07 KBytes       
[  4]  18.00-19.00  sec  10.4 MBytes  87.6 Mbits/sec    0   7.07 KBytes       
[  4]  19.00-20.00  sec  10.8 MBytes  90.6 Mbits/sec    0   7.07 KBytes       
[  4]  20.00-21.00  sec  11.5 MBytes  96.4 Mbits/sec    0   7.07 KBytes       
[  4]  21.00-22.00  sec  11.2 MBytes  94.2 Mbits/sec    0   7.07 KBytes       
[  4]  22.00-23.00  sec  11.1 MBytes  93.3 Mbits/sec    0   7.07 KBytes       
[  4]  23.00-24.00  sec  10.5 MBytes  88.0 Mbits/sec    0   7.07 KBytes       
[  4]  24.00-25.00  sec  11.8 MBytes  98.7 Mbits/sec    0   7.07 KBytes       
[  4]  25.00-26.00  sec  11.2 MBytes  94.3 Mbits/sec    0   7.07 KBytes       
[  4]  26.00-27.00  sec  11.2 MBytes  94.4 Mbits/sec    0   7.07 KBytes       
[  4]  27.00-28.00  sec  11.5 MBytes  96.3 Mbits/sec    0   7.07 KBytes       
[  4]  28.00-29.00  sec  10.5 MBytes  88.4 Mbits/sec    0   7.07 KBytes       
[  4]  29.00-30.00  sec  10.2 MBytes  85.4 Mbits/sec    0   7.07 KBytes       
[  4]  30.00-31.00  sec  11.3 MBytes  95.1 Mbits/sec    0   7.07 KBytes       
[  4]  31.00-32.00  sec  10.9 MBytes  91.3 Mbits/sec    0   7.07 KBytes       
[  4]  32.00-33.00  sec  10.4 MBytes  87.0 Mbits/sec    0   7.07 KBytes       
[  4]  33.00-34.00  sec  9.87 MBytes  82.8 Mbits/sec    0   7.07 KBytes       
[  4]  34.00-35.00  sec  10.8 MBytes  90.9 Mbits/sec    0   7.07 KBytes       
